"title";
"Блеф";
"Золотой телёнок";
"Шерлок Холмс";
"Планета Ка-Пэкс";
"Перед классом";
"Корпорация монстров";
"Амели";
"Семь самураев";
"В случае убийства набирайте «М»";
"Вечное сияние чистого разума";
"Бешеные псы";
"Заплати другому";
"Вам и не снилось...";
"Остров сокровищ";
"На несколько долларов больше";
"Ромео и Джульетта";
"Шерлок Холмс и доктор Ватсон: Король шантажа";
"Белый плен";
"Тот самый Мюнхгаузен";
"Звёздные войны: Эпизод 3 – Месть Ситхов";
"Отец солдата";
"Красота по-американски";
"Андрей Рублев";
"Мой сосед Тоторо";
"Твоё имя";
"Тренер Картер";
"Исчезнувшая";
"Индиана Джонс и последний крестовый поход";
"Человек-слон";
"Писатели свободы";
"Принцесса Мононоке";
"Схватка";
"Психо";
"Военный ныряльщик";
"Знахарь";
"Октябрьское небо";
"Звёздные войны: Эпизод 6 – Возвращение Джедая";
"Новый кинотеатр «Парадизо»";
"Гарри Поттер и узник Азкабана";
"Шрэк";
"Ип Ман";
"Последний самурай";
"Иллюзионист";
"Берегись автомобиля";
"Брат 2";
"Гарри Поттер и философский камень";
"Ирония судьбы, или С легким паром!";
"Звездочки на земле";
"Трасса 60";
"Загадочная история Бенджамина Баттона";
"Цирк";
"Апокалипсис сегодня";
"Ганди";
"Легенда №17";
"Хоббит: Пустошь Смауга";
"Пока не сыграл в ящик";
"Хулиганы";
"Жестокий романс";
"Гарри Поттер и Дары Смерти: Часть II";
"Апокалипсис";
"Рататуй";
"Дурак";
"Я – Сэм";
"Тэмпл Грандин";
"Подмена";
"Ford против Ferrari";
"Крепкий орешек";
"Аватар";
"Песнь моря";
"Золотая лихорадка";
"Медведь";
"Крупная рыба";
"Ураган";
"Джокер";
"Убить пересмешника";
"Знакомьтесь, Джо Блэк";
"Вверх";
"Столкновение";
"Три идиота";
"Рапунцель: Запутанная история";
"Завтра была война";
"Мулан";
"Билли Эллиот";
"Старший сын";
"Реквием по мечте";
"Русалочка";
"История игрушек: Большой побег";
"Догвилль";
"Жизнь Пи";
"Иди и смотри";
"Мужики!..";
"Леди и бродяга";
"Мандарины";
"Поющие под дождем";
"Пираты Карибского моря: На краю света";
"Гаттака";
"Крамер против Крамера";
"Воин";
